"ASSET_SYMBOL","TRADE_DATE","OPEN_PRICE","HIGH_PRICE","LOW_PRICE","CLOSE_PRICE","RSI_14"
"SI=F",2026-02-09 00:00:00.000000000,80.5,82.07,79.98,82.07,13.75
"SI=F",2026-02-10 00:00:00.000000000,81.68,81.68,79.84,80.22,13.52
"SI=F",2026-02-11 00:00:00.000000000,81,84.47,80.99,83.75,16.45
"SI=F",2026-02-12 00:00:00.000000000,82.68,82.69,75.55,75.55,15.16
"SI=F",2026-02-13 00:00:00.000000000,75.11,78.47,74.83,77.85,17.12
"SI=F",2026-02-17 00:00:00.000000000,75.35,75.35,72,73.45,16.35
"SI=F",2026-02-18 00:00:00.000000000,75.7,77.51,75.7,77.51,19.95
"SI=F",2026-02-19 00:00:00.000000000,76.94,78.94,76.94,77.57,20
"SI=F",2026-02-20 00:00:00.000000000,80.46,84.42,80.46,82.28,24.38
"SI=F",2026-02-23 00:00:00.000000000,86.5,87.92,86.5,86.52,28.19
"SI=F",2026-02-24 00:00:00.000000000,86.29,87.46,86.29,87.46,29.03
"SI=F",2026-02-25 00:00:00.000000000,90.94,90.94,90.94,90.94,32.24
"SI=F",2026-02-26 00:00:00.000000000,88.93,90.25,84.98,87,30.56
"SI=F",2026-02-27 00:00:00.000000000,88.07,93.88,87.82,92.68,35.77
"SI=F",2026-03-02 00:00:00.000000000,95.86,95.86,86.22,88.28,33.67
"SI=F",2026-03-03 00:00:00.000000000,89.59,90.8,79,82.92,31.25
"SI=F",2026-03-04 00:00:00.000000000,83.08,85.01,82.63,82.63,31.12
"SI=F",2026-03-05 00:00:00.000000000,84.1,84.15,80.96,81.69,30.67
"SI=F",2026-03-06 00:00:00.000000000,82.92,84.33,81.43,83.82,33.01
"SI=F",2026-03-09 00:00:00.000000000,82.5,86.51,79.5,84.03,33.26
"SI=F",2026-03-10 00:00:00.000000000,87.12,89.59,87,89.08,38.91
"SI=F",2026-03-11 00:00:00.000000000,88.54,88.68,84.53,85.07,36.28
"SI=F",2026-03-12 00:00:00.000000000,86.57,87.16,84.67,84.67,36.02
"SI=F",2026-03-13 00:00:00.000000000,82,83.82,79.45,80.91,33.58
"SI=F",2026-03-16 00:00:00.000000000,79,80.9,79,80.26,33.16
"SI=F",2026-03-17 00:00:00.000000000,80.43,82.24,78.58,79.53,32.66
"SI=F",2026-03-18 00:00:00.000000000,76.5,77.74,74.8,77.24,31.1
